AÑO,ARTICULO,GRAMOS POR PERSONAS,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2012,Frutas 3_ /,157,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2012,Frijoles,79,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12
2012,Verduras 4_ /,127,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.13,0.13
2012,Azúcar,69,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07
2013,Pan Francés,49,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2013,Tortillas,223,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16
2013,Arroz,55,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2013,Carnes 1_ /,60,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.39,0.39,0.39
2013,Grasas 2 _ /,33,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08
2013,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2013,Leche Fluida *,106,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2013,Frutas 3_ /,157,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.11
2013,Frijoles,79,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2013,Verduras 4_ /,127,0.14,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15
2013,Azúcar,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2014,Pan Francés,49,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12
2014,Tortillas,223,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16
2014,Arroz,55,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2014,Carnes 1_ /,60,0.39,0.39,0.39,0.39,0.39,0.4,0.4,0.4,0.4,0.4,0.41,0.42
2014,Grasas 2 _ /,33,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2014,Huevos,28,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2014,Leche Fluida *,106,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
2014,Frutas 3_ /,157,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.12
2014,Frijoles,79,0.1,0.1,0.11,0.12,0.15,0.16,0.19,0.22,0.23,0.23,0.2,0.18
2014,Verduras 4_ /,127,0.16,0.16,0.15,0.14,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.15
2014,Azúcar,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2015,Pan Francés,49,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.14
2015,Tortillas,223,0.16,0.18,0.18,0.18,0.18,0.2,0.2,0.21,0.2,0.2,0.19,0.2
2015,Arroz,55,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08
2015,Carnes 1_ /,60,0.42,0.44,0.44,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.46,0.46
2015,Grasas 2 _ /,33,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08
2015,Huevos,28,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2015,Leche Fluida *,106,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2015,Frutas 3_ /,157,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12
2015,Frijoles,79,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.18,0.17,0.16,0.15
2015,Verduras 4_ /,127,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.17,0.18,0.18
2015,Azúcar,69,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
2016,Pan Francés,49,0.12,0.14,0.13,0.13,0.13,0.11,0.13,0.12,0.13,0.13,0.13,0.13
2016,Tortillas,223,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.18
